打,dǎ,"strike, hit, beat; fight; attack",5
女,nǚ,"woman, girl; feminine; rad. 38",3
变,biàn,"change, transform, alter; rebel",8
四,sì,four,5
神,shén,"spirit, god, supernatural being",9
总,zǒng,"collect; overall, altogether",9
何,hé,"what, why, where, which, how",7
电,diàn,electricity; electric; lightning,5
数,shù,"number; several, count; fate",13
安,ān,"peaceful, tranquil, quiet",6
少,shǎo,"few, less, inadequate",4
报,bào,"report, tell, announce",7
才,cái,"talent, ability; just, only",3
结,jié,"knot, tie; join, connect",9
反,fǎn,"reverse, opposite, contrary, anti",4
受,shòu,"receive, accept, get; bear, stand",8
目,mù,"eye; look, see; division, topic",5
太,tài,"very, too, much; big; extreme",4
量,liàng,"measure, quantity, capacity",12
再,zài,"again, twice, re-",6
感,gǎn,"feel, perceive, emotion",13
建,jiàn,"build, establish, erect, found",8
务,wù,"affairs, business; must, should",5
做,zuò,"work, make; act",11
接,jiē,receive; continue; catch; connect,11
必,bì,"surely, most certainly; must",5
场,chǎng,"open space, field, market",6
件,jiàn,numerary adjunct for article; matter,6
计,jì,"plan, plot; strategem; scheme",4
管,guǎn,"pipe, tube, duct; woodwind music",14
期,qī,period of time; date; time limit,12
市,shì,"market, fair; city, town; trade",5
直,zhí,"straight, erect, vertical",8
德,dé,"ethics, morality, virtue",15
资,zī,property; wealth; capital,10
命,mìng,"life; destiny, fate, luck; an order, instruction",8
山,shān,"mountain, hill, peak",3
金,jīn,gold; metals in general; money,8
指,zhǐ,"finger, toe; point, indicate",9
克,kè,gram; overcome; transliteration,7
许,xǔ,"allow, permit; promise; betroth",6
统,tǒng,"govern, command, control; unite",9
区,qū,"area, district, region, ward",4
保,bǎo,"protect, safeguard, defend, care",9
至,zhì,"reach, arrive; extremely, very",6
队,duì,"team, group; army unit",4
形,xíng,"form, shape, appearance",7
社,shè,"god of the soil and altars to him; group of families; company, society",7
便,biàn,"convenience, ease; expedient",9
空,kōng,"empty, hollow, bare, deserted",8
决,jué,"decide, determine, judge",6
治,zhì,"govern, regulate, administer",8
展,zhǎn,"open, unfold; stretch, extend",10
马,mǎ,horse; surname; KangXi radical 187,3
科,kē,"section, department, science",9
司,sī,"take charge of, control, manage; officer",5
五,wǔ,five; surname,4
基,jī,"foundation, base",11
眼,yǎn,"eye; eyelet, hole, opening",11
书,shū,"book, letter, document; writings",4
非,fēi,"not, negative, non-; oppose",8
则,zé,"rule, law, regulation; grades",6
听,tīng,"hear; understand; obey, comply",7
白,bái,"white; pure, unblemished; bright",5
却,què,"still, but; decline; retreat",7
界,jiè,"boundary, limit; domain; society; the world",9
达,dá,"arrive at, reach; intelligent; smooth, slippery",6
光,guāng,"light, brilliant, shine; only",6
放,fàng,"put, release, free, liberate",8
强,qiáng,"strong, powerful, energetic",12
即,jí,"promptly, quickly, immediately",7
像,xiàng,"a picture, image, figure; to resemble",13
难,nán,"difficult, arduous, hard; unable",10
且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",5
权,quán,"power, right, authority",6
思,sī,"think, consider, ponder; final particle",9
王,wáng,"king, ruler; royal; surname",4
象,xiàng,"elephant; ivory; figure, image",11
完,wán,"complete, finish, settle; whole",7
设,shè,build; establish; display,6
式,shì,"style, system, formula, rule",6
色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",6
路,lù,"road, path, street; journey",13
记,jì,"record; keep in mind, remember",5
南,nán,south; southern part; southward,9
品,pǐn,"article, product, commodity",9
住,zhù,"reside, live at, dwell, lodge; stop",7
告,gào,"tell, announce, inform; accuse",7
类,lèi,"class, group, kind, category",9
求,qiú,"seek; demand, request; beseech",7
据,jù,"to occupy, take possession of; a base, position",11
程,chéng,"journey, trip; schedule, agenda",12
北,běi,north; northern; northward,5
边,biān,"edge, margin, side, border",5
死,sǐ,die; dead; death,6
张,zhāng,"stretch, extend, expand; sheet",7
该,gāi,"should, ought to, need to",8
交,jiāo,"mix; intersect; exchange, communicate; deliver",6
规,guī,"rules, regulations, customs, law",8
万,wàn,ten thousand; innumerable,3
取,qǔ,"take, receive, obtain; select",8
拉,lā,"pull, drag; seize, hold; lengthen",8
格,gé,"pattern, standard, form; style",10
望,wàng,"to look at, look forward; to hope, expect",11
觉,jué,to wake up from sleep; conscious,9
术,shù,"art, skill, special feat; method, technique",5
领,lǐng,"neck; collar; lead, guide",11
共,gòng,"together with, all, total; to share",6
确,què,"sure, certain; real, true",12
传,chuán,"summon; propagate, transmit",6
师,shī,"teacher, master, specialist",6
观,guān,"see, observe, view; appearance",6
清,qīng,"clear, pure, clean; peaceful",11
今,jīn,"now, today, modern era",4
切,qiè,"cut, mince, slice, carve",4
院,yuàn,"courtyard, yard, court; school",9
让,ràng,"allow, permit, yield, concede",5
识,shí,"recognize, understand, know",7
候,hòu,wait; expect; visit; greet,10
带,dài,"belt, girdle, band, strap, zone",9
导,dǎo,"direct, guide, lead, conduct",6
争,zhēng,"dispute, fight, contend, strive",6
运,yùn,run; simplified form of ,7
笑,xiào,"smile, laugh, giggle; snicker",10
飞,fēi,fly; go quickly; dart; high,3
风,fēng,"wind; air; manners, atmosphere",4
步,bù,"step, pace; walk, stroll",7
改,gǎi,"change, alter; improve, remodel",7
收,shōu,"gather together, collect; harvest",6
根,gēn,"root, base(d on); foundation",10
干,gàn,"oppose, offend; invade; dried",3
造,zào,"construct, build, make, begin; prepare",10
言,yán,"words, speech; speak, say",7
联,lián,"connect, join; associate, ally",12
持,chí,"sustain, support; hold, grasp",9
组,zǔ,"class; section, department",8
每,měi,"every, each",7
济,jì,"help, aid, relieve; ferry, cross",9
车,chē,"cart, vehicle; carry in cart",4
亲,qīn,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree",9
极,jí,"extreme, utmost, furthest, final",7
林,lín,"forest, grove; surname",8
服,fú,"clothes; wear, dress",8
快,kuài,"rapid, quick, speedy, fast; soon",7
办,bàn,"manage, do, handle; deal with",4
议,yì,"consult, talk over, discuss",5
往,wǎng,"go, depart; past, formerly",8
元,yuán,first; dollar; origin; head,4
英,yīng,"petal, flower, leaf; brave, a hero; England, English",8
士,shì,"scholar, gentleman; soldier",3
证,zhèng,"prove, confirm, verify; proof",7
近,jìn,"near, close; approach; intimate",7
失,shī,"lose; make mistake, neglect",5
转,zhuǎn,"shift, move, turn",8
夫,fū,"man, male adult, husband; those",4
准,zhǔn,"approve, allow, permit; in accord",10
布,bù,"cotton cloth, textiles, linen",5
始,shǐ,"begin, start; then, only then",8
怎,zěn,what? why? how?,9
呢,ne,interrogative or emphatic final; (Cant.) this,8
存,cún,"exist, live, be; survive; remain",6
未,wèi,not yet; 8th terrestrial branch,5
远,yuǎn,"distant, remote, far; profound",7
叫,jiào,"cry, shout; hail, greet, call",5
台,tái,platform; unit; term of address,5
单,dān,"single, individual, only; lone",8
影,yǐng,"shadow; image, reflection; photograph",15
具,jù,"tool, implement; draw up, write",8
罗,luō,net for catching birds; gauze,8
字,zì,"letter, character, word",6
爱,ài,"love, be fond of, like",10
击,jī,"strike, hit, beat; attack, fight",5
流,liú,"flow, circulate, drift; class",10
备,bèi,"prepare, ready, perfect",8
兵,bīng,"soldier, troops",7
连,lián,"join, connect; continuous; even",7
调,diào,"transfer, move, change; tune",10
深,shēn,"deep; depth; far; very, extreme",11
商,shāng,"commerce, business, trade",11
算,suàn,"count, calculate, figure; plan",14
质,zhì,"matter, material, substance",8
团,tuán,"sphere, ball, circle; mass, lump",6
集,jí,"assemble, collect together",12
百,bǎi,"one hundred; numerous, many",6
需,xū,"need, require, must",14
价,jià,"price, value",6
花,huā,flower; blossoms,7
党,dǎng,"political party, gang, faction",10
华,huá,flowery; illustrious; Chinese,6
城,chéng,"castle; city, town; municipality",9
石,shí,"stone, rock, mineral; rad. 112",5
级,jí,"level, rank, class; grade",6
整,zhěng,"orderly, neat, tidy; whole",16
府,fǔ,prefecture; prefect; government,8
离,lí,rare beast; strange; elegant,10
况,kuàng,"condition, situation; furthermore",7
亚,yà,Asia; second,6
请,qǐng,"ask, request; invite; please",10
技,jì,"skill, ability, talent, ingenuity",7
际,jì,"border, boundary, juncture",7
约,yuē,"treaty, agreement, covenant",6
示,shì,"show, manifest; demonstrate",5
复,fù,return; repeat; repeatedly,9
病,bìng,"illness, sickness, disease",10
息,xī,"rest, put stop to, end, cease",10
究,jiū,"examine, investigate",7
线,xiàn,"line, thread, wire; clue",8
似,shì,"resemble, similar to; as if, seem",6
官,guān,"official, public servant",8
火,huǒ,"fire, flame; burn; anger, rage",4
断,duàn,"sever, cut off; interrupt",11
精,jīng,essence; semen; spirit,14
满,mǎn,"fill; full, satisfied",13
支,zhī,"disperse, pay; support; branch",4
视,shì,"look at, inspect, observe, see",8
消,xiāo,"vanish, die out; melt away",10
越,yuè,"exceed, go beyond; the more ...",12
器,qì,"receptacle, vessel; instrument",16
容,róng,"looks, appearance; figure, form",10
照,zhào,"shine, illumine, reflect",13
须,xū,"must, have to, necessary",9
九,jiǔ,nine,2
增,zēng,"increase, add to, augment",15
研,yán,"grind, rub; study, research",9
写,xiě,"write; draw, sketch; compose",5
称,chēng,"call; name, brand; address; say",10
企,qǐ,plan a project; stand on tiptoe,6
八,bā,"eight; all around, all sides",2
功,gōng,"achievement, merit, good result",5
吗,ma,final interrogative particle,6
包,bāo,"wrap, pack, bundle; package",5
片,piàn,"slice, splinter, strip; rad. 91",4
史,shǐ,"history, chronicle, annals",5
委,wěi,"appoint, send, commission",8
乎,hū,interrogative or exclamatory final particle,5
查,chá,"investigate, examine, seek into",9
轻,qīng,"light; easy, simple; gentle",9
易,yì,change; easy,8
早,zǎo,early; soon; morning,6
曾,céng,already; sign of past,12
除,chú,"eliminate, remove, except",9
农,nóng,"agriculture, farming; farmer",6
找,zhǎo,"search, seek, look for; find",7
装,zhuāng,"dress, clothes, attire; fill",12
广,guǎng,"wide, extensive, broad; rad. 53",3
显,xiǎn,"manifest, display; evident, clear",9
吧,ba,emphatic final particle,7
李,lǐ,plum; judge; surname,7
标,biāo,"mark, symbol, label, sign; stand the bole of a tree",9
谈,tán,talk; conversation; surname,10
吃,chī,"eat; drink; suffer, endure, bear",6
图,tú,"diagram; chart, map, picture",8
念,niàn,"think of, recall, study",8
六,liù,number six,4
引,yǐn,"to pull, draw out, attract; to stretch",4
历,lì,history; calendar,4
首,shǒu,"head; first; leader, chief; a poem",9
医,yī,"cure, heal; doctor, medical",7
局,jú,"bureau, office; circumstance",7
突,tū,"suddenly, abruptly, unexpectedly",9
专,zhuān,"monopolize, take sole possession",4
费,fèi,"expenses, expenditures, fee",9
号,hào,"mark, sign; symbol; number",5
尽,jǐn,"exhaust, use up; deplete",6
另,lìng,"another, separate, other",5
周,zhōu,Zhou dynasty; circumference,8
较,jiào,"compare; comparatively, more",10
注,zhù,"concentrate, focus, direct",8
语,yǔ,"language, words; saying, expression",9
仅,jǐn,"only, merely, solely, just",4
考,kǎo,"examine, test; investigate",6
落,luò,"fall, drop; net income, surplus",12
青,qīng,"blue, green, black; young",8
随,suí,"follow, listen to, submit to",11
选,xuǎn,"choose, select; elect; election",9
列,liè,"a line; to arrange in order, classify",6
武,wǔ,"military; martial, warlike",8
红,hóng,"red, vermillion; blush, flush",6
响,xiǎng,"make sound, make noise; sound",9
虽,suī,"although, even if",9
推,tuī,"push, expel; push forward",11
势,shì,"power, force; tendency",8
参,cān,"take part in, intervene; ginseng",8
希,xī,"rare; hope, expect, strive for",7
古,gǔ,"old, classic, ancient",5
众,zhòng,"multitude, crowd; masses, public",6
构,gòu,"frame, building, structure",8
房,fáng,"house, building; room",8
半,bàn,half,5
节,jié,"knot, node, joint; section",5
土,tǔ,"soil, earth; items made of earth",3
投,tóu,"throw, cast, fling, pitch; jump",7
某,mǒu,certain thing or person,9
案,àn,"table, bench; legal case",10
黑,hēi,"black; dark; evil, sinister",12
维,wéi,"maintain, preserve, safeguard",11
革,gé,"leather, animal hides; rad. 177",9
划,huà,to row or paddle boat; to scratch,6
敌,dí,"enemy, foe, rival; resist",10
致,zhì,"send, deliver, present; cause",10
陈,chén,"exhibit, display; plead; a surname",7
律,lǜ,"statute, principle, regulation",9
足,zú,"foot; attain, satisfy, enough",7
态,tài,"manner, bearing, attitude",8
护,hù,"protect, guard, defend, shelter",7
七,qī,seven,2
兴,xìng,"thrive, prosper, flourish",6
派,pài,"school of thought, sect, branch",9
孩,hái,"baby, child; children",9
验,yàn,"test, examine, inspect; verify",10
营,yíng,"encampment, barracks; manage",11
星,xīng,"a star, planet; any point of light",9
够,gòu,"enough, adequate",11
章,zhāng,"composition; chapter, section",11
音,yīn,"sound, tone, pitch, pronunciation",9
跟,gēn,"heel; to follow, accompany; with",13
志,zhì,"purpose, will, determination; annals",7
底,dǐ,"bottom, underneath, underside",8
站,zhàn,"stand up; a stand, station",10
严,yán,"strict, rigorous, rigid; stern",7
巴,bā,"greatly desire, anxiously hope",4
例,lì,"precedent, example; regulation",8
防,fáng,defend; prevent; embankment,6
族,zú,"a family clan, ethnic group, tribe",11
供,gōng,"supply, provide for; offer in worship",8
效,xiào,"result, effect; effectiveness",10
续,xù,"continue, carry on; succeed",11
施,shī,"grant, bestow; give; act; name",9
留,liú,"stop, halt; stay, detain, keep",10
讲,jiǎng,explain; discuss; talk,6
型,xíng,"pattern, model, type; law; mold",9
料,liào,"consider, conjecture; materials, ingredients",10
终,zhōng,"end; finally, in the end",8
答,dá,"answer, reply; return; assent to",12
紧,jǐn,"tense, tight, taut; firm, secure",10
黄,huáng,yellow; surname,11
绝,jué,"to cut, sever, break off, terminate",9
奇,qí,"strange, unusual, uncanny, occult",8
察,chá,"examine, investigate; notice",14
母,mǔ,mother; female elders; female,5
京,jīng,capital city,8
段,duàn,"section, piece, division",9
依,yī,"rely on, be set in; consent, obey a wish",8
批,pī,"comment, criticize; wholesale",7
群,qún,(same as ,13
项,xiàng,"neck, nape of neck; sum; funds",9
故,gù,"ancient, old; reason, because",9
按,àn,"put hand on, press down with hand",9
河,hé,river; stream; yellow river,8
米,mǐ,hulled or husked uncooked rice,6
围,wéi,"surround, encircle, corral",7
江,jiāng,large river; yangzi; surname,6
织,zhī,"weave, knit; organize, unite",8
害,hài,"injure, harm; destroy, kill",10
斗,dòu,Chinese peck; liquid measure,4
双,shuāng,"set of two, pair, couple; both",4
境,jìng,"boundary, frontier; area, region",14
客,kè,"guest, traveller; customer",9
纪,jì,"record, annal, historical account",6
采,cǎi,"collect, gather; pick, pluck",8
举,jǔ,"raise, lift up; recommend",9
杀,shā,"kill, slaughter, murder; hurt",6
攻,gōng,"attack, assault; criticize",7
父,fù,father; KangXi radical 88,4
密,mì,"dense, thick, close; intimate",11
低,dī,"low; to lower, hang, bend, bow",7
朝,cháo,dynasty; morning,12
友,yǒu,"friend, companion; fraternity",4
诉,sù,accuse; sue; inform; narrate,7
止,zhǐ,"stop, halt, desist; detain",4
细,xì,"fine, tiny; slender, thin",8
愿,yuàn,"sincere, honest, virtuous",14
千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler",3
值,zhí,price,10
仍,réng,"yet, still, as ever; again; keep -ing, continuing",4
男,nán,"male, man; son; baron; surname",7
钱,qián,"money, currency, coins",10
破,pò,"break, ruin, destroy; rout",10
网,wǎng,net; network; KangXi radical 122,6
热,rè,hot; heat; fever; restless; zeal,10
助,zhù,"help, aid, assist",7
倒,dào,fall over; lie down; take turns,10
育,yù,"produce, give birth to; educate",8
属,shǔ,"class, category, type; belong to",12
坐,zuò,"sit; seat; ride, travel by",7
帝,dì,"supreme ruler, emperor; god",9
限,xiàn,"boundary, limit, line",8
船,chuán,"ship, boat, vessel",11
脸,liǎn,face; cheek; reputation,11
职,zhí,"duty, profession; office, post",11
速,sù,"quick, prompt, speedy",10
刻,kè,"carve, engrave; quarter hour",8
乐,lè,"happy, glad; enjoyable; music",5
否,fǒu,"not, no, negative; final particle",7
刚,gāng,"hard, tough, rigid, strong",6
威,wēi,"pomp, power; powerful; dominate",9
毛,máo,"hair, fur, feathers; coarse",4
状,zhuàng,form; appearance; shape; official,7
率,lǜ,to lead; ratio; rate; limit,11
甚,shén,great extent; considerably,9
独,dú,"alone, single, solitary, only",9
球,qiú,"ball, sphere, globe; round",11
般,bān,"sort, manner, kind, category",10
普,pǔ,"universal, general, widespread",12
怕,pà,"to fear, be afraid of; apprehensive",8
弹,dàn,"pellet, bullet, shot, shell",11
校,xiào,school; military field officer,10
苦,kǔ,"bitter; hardship, suffering",8
创,chuàng,"establish, create; knife cut",6
假,jiǎ,"falsehood, deception; vacation",11
久,jiǔ,"long time (ago); time passage, grow late",3
